id,text,label
58,宝宝/女神…➕你是一个➕小猫咪/晴天娃娃/…,捧场
59,妹子/…➕我爱你啊啊啊…➕emoji🥺🥺😽💗💕,捧场
60,求女神勾搭私联,捧场
61,今天就是我们结婚第一天好吗💍,捧场
62,我要亲你了。,捧场
63,时间不早了我和孩子都想你了,捧场
64,女神怎么来这么慢来睡觉,捧场
65,那很荣幸了🥺,捧场
66,名字➕我宣你/想你了,捧场
67,太可爱的宝宝连夸出来的话都这么萌! (〃>▽<〃)/*,捧场
68,想了半天漂亮话发现最漂亮的是你,捧场
69,作者亲过ටωට,捧场
70,这时候就有人要问了 我们宝宝咋这么会夸呀(⸝⸝› з ‹⸝⸝)‬,捧场
71,嘴真甜，吻了,捧场
72,就这么一直被老婆宠着…,捧场
73,被宝宝喜欢也是一种天赋,捧场
74,有的人天生就是当老婆的料,捧场
75,我买的水军来了,捧场
76,被宝宝夸了我今天会给所有人好脸色看(๑‾ ꇴ ‾๑),捧场
77,嘿嘿嘿(扭捏)(羞涩)(揪衣角)(上半身拧半圈),捧场
78,今天的好心情在你这里了,捧场
79,这时候就有人要问了，宝宝怎么这么会夸呀(៸៸᳐⦁⩊⦁៸៸᳐ )੭ ﾞ,捧场
80,矮泥yo宝宝₍˄ _ ̫ _ ˄₎◞ ̑̑,捧场
81,宝宝你是一个特别会夸人的小蛋糕•͈ ₃ •͈,捧场
82,我也不会放弃成为宝宝你这种大美女的(´◊ω◊｀),捧场
83,这时候就要感谢美图秀秀的大力支持了>ㅅ<,捧场
84,美女夸我幸福到昏古( ˵>ㅿ<˵ )♡♡,捧场
85,不知道在夸什么 完全Kiss 不到啊^>⸝⸝⸝⸝<^,捧场
86,是谁偷着乐我不说跟你一样咱们都是相由心生๑'ꇴ'๑,捧场
87,萌宝宝怎么连夸夸都萌萌的(◍ ´꒳` ◍),捧场
88,XX老婆我喜欢你啊啊啊啊!(σ≧∀≦)σ,捧场
89,好荣幸 ~\(≧▽≦)/~被宝宝这么萌的老婆夸了,捧场
90,萌的震撼一下老婆!:*,捧场
91,宝宝这么夸窝都有点不好意思惹(*’√`*),捧场
92,被宝宝经常夸夸 所以越来越自信越来越美噜Σ( ˙꒳​˙ ),捧场
93,听说过你 很萌 乃世间萌宝！( ˶'ᵕ'˶)♡,捧场
94,就是萌！正面看，萌！背面看，萌！左边看，萌！右面看，萌！上面看，萌！下面看，萌！用苹果手机看，萌！用华为手机看，萌！用小米手机看，萌！用三星手机看，萌！用欧坡手机看，萌！用维沃手机看，萌！用八八四八手机看，萌！！,捧场
95,姐姐 等会儿放学要不要一起走(>.<) 不可以拒绝我的理由有很多： 第一，有我陪你不会孤独( ๑╹ꇴ╹๑ ) 第二，遇到小混混我来保护你👊🏻 第三，我口袋里的五毛钱可以给你买糖´༥` 第四，等想到更多的再补充……,捧场
96,我草？这哪来的萌妹子！这么可爱！原来是我们家咪咪呀！,捧场
97,停一停 朋友圈最萌的宝宝出现啦☆*:.｡. o(≧▽≦)o .｡.:*☆,捧场
98,你生气可爱 哭脸可爱 说话可爱 亲我可爱 坦诚可爱 委屈可爱 让我滚可爱 想我的时候可爱 骂我的时候可爱 你这个人 你怎么么可爱？你简直长在我的萌点上,捧场
99,你是个漂亮的小女孩 容易被色狼盯上 防狼是你的必修课 天天防狼也是会累的 不过不要担心 以后你不用防狼了 因为你的郎来了！,捧场
100,这个喷不了 这个像我老婆 这个太美了 正脸像我老婆 左侧脸像我爸的女婿 右侧脸像我妈的女婿 下面看像我哥的妹夫 上面看像我姐的妹夫 远看像我弟的姐夫 近看像我妹的姐夫 后面看像我的宝宝 摆动作看像我的老婆 生气时像我的老婆,捧场
101,唉，好累，现在只想有个人爱上我，我能每天和他说一点很笨很笨的话撒撒娇...一起散散步然后，然后我们就这样幸福地生活,捧场
102,⁶⁶⁶⁶⁶⁶ ⁶⁶ ₆₆₆₆这太美了吧₆₆₆₆⁶⁶⁶⁶⁶⁶被美晕⁶⁶666⁶⁶⁶⁶⁶⁶66⁶⁶⁶想嫁了⁶⁶⁶⁶⁶⁶ ⁶6666⁶⁶666₆₆₆₆₆666 ⁶⁶⁶⁶⁶⁶666666₆₆₆₆₆₆,捧场
103,对姐姐的爱就像尿裤子，所有人都能看见，但是暖暖的只有自己知道,捧场
104,ㅎㄹ...真的疯了 完全是 legend 啊ㅋㅋ这种程度真的不是天才吗 ㅅㅂ…做到这种程度的话就完全是神吧ㅠㅠ…以后也请一直幸福地生活下去吧♡ 今天完全展现出帅气的角度呢 是路过的蚂蚁都会惊叹的程度啊,捧场
105,你好，刚从美国回来，秀一段英语l love you,捧场
106,看到这张脸我会给世界一些好脸色,捧场
107,姐姐开门，我是姐夫,捧场
108,姐姐，等会儿放学要不要一起走,捧场
109,这颜值我给你打97分，别问我为什么，因为骑着摩托车等红灯时，为了看清楚你，把头盔摘下来被扣了3分,捧场
110,可恶...刚哄好自己长的是耐看型,捧场
111,死丫头，把我的心骗走了,捧场
112,oi小鬼你知道天气为什么这么热吗？因为想你想的燥热啊！o.o,捧场
113,我滴妈，你是要迷死我这个北京太子爷，资产过百亿美元，男的，很帅，土象，圈子小，三观正，会哄你，偶尔会有点小脾气，吵架会低头，目前在马来西亚读博士明年去美国做导师的18岁男子吗？,捧场
114,我其实根本没有被主播迷倒 我就是在跟她博弈 我装作被她迷得神魂颠倒 其实这都是我计划里的一部分 一切都在按计划进行 你们都别说了 我其实自有打算,捧场
115,绝味都找不到这么绝的锁骨,捧场
116,看手还以为是手模呢，没想到一露脸是维密超模,捧场
117,他爸的中国尤物,捧场
118,开播，我立马刷礼物,捧场
119,大家好，我是秦始皇，我醒来时发现自己在现在这个奇怪的地方，只要你们把图片里这个美人送到我身边来我就能回到秦朝，等我回去就赏你们黄金万两,捧场
120,不萌则已，一萌惊人,捧场
121,这位更是妈妈级别,捧场
122,我将故意走到你前面做空气投篮,捧场
123,我再说一遍，轮到我谈了,捧场
124,姐不白看，姐给你点赞（暗示点赞）,捧场
125,老师，我想知道一下。如果你的现老婆和前老婆掉进水里，我可以做你的新老婆吗,捧场
126,萌物中的萌物 萌物中的统治者 萌物之主 萌物的终结者 萌王 萌师 萌神 压倒性萌物 萌物史上永垂不朽的巅峰,捧场
127,妲己可以眩晕我,捧场
128,5秒，张良可以控制我,捧场
129,2秒。东皇也可以控制我,捧场
130,2秒，墨子大招能眩晕我,捧场
131,3秒。弈星大招可以限制我四秒。老夫子大招能困住我五秒。可是姐姐的魅力却困了我一辈子。,捧场
132,我是学生给我亲一口我求求你了我求求你了我求求你了我求求你了我求求你了我求求你了我求求你了我求求你了我求求你了我求求你了,捧场
133,5秒，张良可以控制我,捧场
134,2秒。东皇也可以控制我,捧场
135,2秒，墨子大招能眩晕我,捧场
136,3秒。弈星大招可以限制我四秒。老夫子大招能困住我五秒。可是姐姐的魅力却困了我一辈子。 4、我是学生给我亲一口我求求你了我求求你了我求求你了我求求你了我求求你了我求求你了我求求你了我求求你了我求求你了我求求你了 5、我的眼睛本来长这样 OvO 后来看见宝宝后就变成了♡v♡ 6、宝宝 你穿成这样走进蛋糕店会被赶出来的呀 老板会指着蛋糕橱柜说我们店是卖草莓小蛋糕的 要是一不小心把你卖掉了怎么办呀！ 7、宝宝你真的特别萌我真是不明白了为什么你这么萌你知道你自己这么萌吗如果不传播宝的可爱全世界都要毁灭了世界没有你可怎么转只能强撑都是强撑罢了太萌了我的宝萌的我从地球螺旋升天我的好宝宝 8、萌的我打翻拼好饭૮₍ ˃̵ᴗ˂̵₎ა 9、不知道要夸什么 完全kiss不到呀๑ ›﹃ ‹ ๑ 10、姐姐你美的我神魂颠倒，直接360°旋转倒立扫堂腿接着帅气旋转单膝落地。,捧场
137,这颜值我打97分，别问我为什么，因为骑着摩托车等红绿灯时，为了看清你，把头盔摘下来被扣了三分,捧场
138,就是萌！正面看，萌！背面看，萌！左边看，萌！右面看，萌！上面看，萌！下面看，萌！用苹果手机看，萌！用华为手机看，萌！用小米手机看，萌！用三星手机看，萌！用欧坡手机看，萌！用维沃手机看，萌！用八八四八手机看，萌！！,捧场
139,美得我抬头撞到了天花板（一般人长不到这么高的）,捧场
140,这个喷不了，长的太爽了，拉子看了发神经，直女看了断月经，这简直是抑郁症的克星，植物人的闹铃,捧场
141,现在这个账号是angelababy在用吗,捧场
142,宝宝不要把自己逼得太紧 平时放松一下 比如饿了就拍美照 困了就拍抖舞 想休息就拍手势舞 无聊了就剪vlog,捧场
143,宝宝 你穿成这样走进蛋糕店会被赶出来的呀 老板会指着蛋糕橱柜说我们店是卖草莓小蛋糕的 要是一不小心把你卖掉了怎么办呀！,捧场
144,今天在迷你世界搬完砖，被妮妮和酋长压榨，少发了100迷你豆工资，回家的路上还被mc真爱粉追着扔鸡蛋，浑身湿透透的，现在回到家拿起手机看见这么好的你也是值了,捧场
145,对姐姐的爱就像尿裤子，所有人都能看见，但是暖暖的只有自己知道,捧场
146,以后炒菜不用放盐了，因为你的美貌无需多言,捧场
147,古代有一种甜品的制作方法，中间是一个窝窝头，四周紧挨着一圈甜芋泥，非常美味。我一直想不起来这种甜品叫什么，直到见到了你，我突然想了起来，大喊：窝挨泥啊！窝挨泥！,捧场
148,姐姐好美 (踢走其他小狗)(跑到面前摇尾巴)(又有其他小狗来)(和其他小狗打架)(踢走其他小狗)(满身伤痕摇尾巴),捧场
149,美到我立刻下单飞机票，准备冲破屏幕来见你，别拦我，这是我此生必须要做的事！,捧场
150,救命！看到这直接瞳孔地震，这颜值是真实存在的吗？我宣布从今天起你就是我命中注定的神！（疯狂敲键盘）（把周围同事吓一跳）,捧场
151,宝贝在干嘛 mua啊 在吗 睡了吗（靠着宝马）（带着墨镜）（嘴叼玫瑰）（吹个口哨）,捧场
152,我将尾随你并偷闻香气,捧场
153,yes成功引起你的注意,捧场
154,宝宝/女神…➕你是一个➕小猫咪/晴天娃娃/…,捧场
155,妹子/…➕我爱你啊啊啊…➕emoji🥺🥺😽💗💕,捧场
156,求女神勾搭私联,捧场
157,今天就是我们结婚第一天好吗💍,捧场
158,我要亲你了。,捧场
159,时间不早了我和孩子都想你了,捧场
160,女神怎么来这么慢来睡觉,捧场
161,那很荣幸了🥺,捧场
162,名字➕我宣你/想你了,捧场
163,太可爱的宝宝连夸出来的话都这么萌! (〃>▽<〃)/*,捧场
164,想了半天漂亮话发现最漂亮的是你,捧场
165,作者亲过ටωට,捧场
166,这时候就有人要问了 我们宝宝咋这么会夸呀(⸝⸝› з ‹⸝⸝)‬,捧场
167,嘴真甜，吻了,捧场
168,就这么一直被老婆宠着…,捧场
169,被宝宝喜欢也是一种天赋,捧场
170,有的人天生就是当老婆的料,捧场
171,我买的水军来了,捧场
172,被宝宝夸了我今天会给所有人好脸色看(๑‾ ꇴ ‾๑),捧场
173,嘿嘿嘿(扭捏)(羞涩)(揪衣角)(上半身拧半圈),捧场
174,今天的好心情在你这里了,捧场
175,这时候就有人要问了，宝宝怎么这么会夸呀(៸៸᳐⦁⩊⦁៸៸᳐ )੭ ﾞ,捧场
176,矮泥yo宝宝₍˄ _ ̫ _ ˄₎◞ ̑̑,捧场
177,宝宝你是一个特别会夸人的小蛋糕•͈ ₃ •͈,捧场
178,我也不会放弃成为宝宝你这种大美女的(´◊ω◊｀),捧场
179,这时候就要感谢美图秀秀的大力支持了>ㅅ<,捧场
180,美女夸我幸福到昏古( ˵>ㅿ<˵ )♡♡,捧场
181,不知道在夸什么 完全Kiss 不到啊^>⸝⸝⸝⸝<^,捧场
182,是谁偷着乐我不说跟你一样咱们都是相由心生๑'ꇴ'๑,捧场
183,萌宝宝怎么连夸夸都萌萌的(◍ ´꒳` ◍),捧场
184,XX老婆我喜欢你啊啊啊啊!(σ≧∀≦)σ,捧场
185,好荣幸 ~\(≧▽≦)/~被宝宝这么萌的老婆夸了,捧场
186,萌的震撼一下老婆!:*,捧场
187,宝宝这么夸窝都有点不好意思惹(*’√`*),捧场
188,被宝宝经常夸夸 所以越来越自信越来越美噜Σ( ˙꒳​˙ ),捧场
189,听说过你 很萌 乃世间萌宝！( ˶'ᵕ'˶)♡,捧场
190,你好美，太平洋是我为而流的口水,捧场
191,以后炒菜不用放盐了，因为你的美貌无需多言,捧场
192,回来小黄 不要打扰这位可爱的女人👩🏼‍🦯🦮,捧场
193,好好好 漂漂漂 亮 亮 亮 好 漂 亮 亮 好好好 漂漂漂 亮 亮 好 漂 亮 亮 好好好 漂漂漂 亮 亮 亮,捧场
194,谢谢你把我斜视治好了 看到你我眼睛都直了,捧场
195,糟糕，被迷晕惹𖦹𖦹.ᐟ.ᐟ,捧场
196,你是学钢琴的吧，长得好像我初练琴人,捧场
197,天气预报说今晚有雨 我都能听成今晚有你,捧场
198,人呢 放块小蛋糕在这勾引谁 ｡•﹃•｡,捧场
199,我眼睛本来长这样OvO 后来看见姐姐后就变成了♡v♡,捧场
200,美女眼前过，不夸是罪过,捧场
201,太美了 惩罚自己看一百遍,捧场
202,我说元素周期表怎么少了三个 原来是镁铝在这里 差点忘了 我的锌也在这里,捧场
203,我滴乖 看小图以为是美女，看大图发现是惊天大美女,捧场
204,心都碎成二维码了 可扫出来还是我爱你,捧场
205,走在路上看了一下你的照片，眼睛里有光了，村里的老头以为天亮了，愣是起来耕了三亩地,捧场
206,我妈说再偷看你的朋友圈就打断我的腿 幸好不是胳膊 这样还能继续给你评论,捧场
207,心动女嘉宾！爆灯！爆灯！爆灯！！！！,捧场
208,你怎么发自拍也不打个招呼？我刚打开朋友圈还没有做好心理准备 就这么大一个美女跳出来 这合适吗？下次注意。,捧场
209,你好美，太平洋是我为你流的口水。,捧场
210,好美。（这句话虽然只有短短的两个字，却透露出一丝高冷与漫不经心的从容，与本人放荡不羁的身影相得益彰，结尾的句号礼貌又不失疏离感恰如其分地显示了本人高贵而优雅的气质。),捧场
211,我抓着手机捂住嘴盘腿坐在寺庙边哭的泪流满面，住持出来问我为什么哭，我说住持我看到了神仙，住持问什么神仙，我把手机举给他看，住持看完念阿弥陀佛！直呼此乃真神也！手机被供到了大雄宝殿，我没了手机哭的更加伤心欲绝，问我是不是手机被抢才哭，我说funny mud pee！我是因为看不到神图了才哭！,捧场
212,笑死，这样也敢发出来，就不怕我原地跳高36000000度大旋转手捧999朵玫瑰嘴叼DR钻戒向你求婚？,捧场
213,刚说服自己属于氛围感帅哥，又被镜子打回原形,捧场
214,这位仙子，偷星星的时候顺带偷走我的魂了吧,捧场
215,OMG弟弟，知道为什么今晚月亮特别圆吗？因为你的圆脑壳在发光啊！,捧场
216,救命！你是要攻略我这个南极在逃企鹅王子吗？存款八位数，会跳踢踏舞，懂星座，会写诗，生气时只会用肚皮滑行，目前正在南极洲研究如何用眼泪发电！,捧场
217,我根本没在看游戏直播，我只是在测试自己能否坚持不笑，一切尽在掌控，弹幕别拆穿我,捧场
218,蜜雪冰城都调不出这么甜的梨涡,捧场
219,看背影以为是校草，转过来发现是AI建模,捧场
220,他娘的人类美学奇迹,捧场
221,发张自拍，我立刻改微信头像,捧场
222,大家好，我是杨贵妃，刚穿越就看到这位公子，速速送荔枝来联姻,捧场
223,刚在超市称重，阿姨说我心里装着你超重了,捧场
224,建议把这张脸列入非物质文化遗产,捧场
225,姐妹快逃，这眼神能让人直接社保卡密码上交,捧场
226,刚学会骑自行车就遇见你，现在心在漂移,捧场
227,天气预报说今天有雨，原来是我的哈喇子,捧场
228,这位施主，老衲的禅心被你撞成碰碰车了,捧场
229,刚在动物园当饲养员，发现你是我的漏网之鱼,捧场
230,5秒，张良可以控制我,捧场
231,2秒。东皇也可以控制我,捧场
232,2秒，墨子大招能眩晕我,捧场
233,3秒。弈星大招可以限制我四秒。老夫子大招能困住我五秒。可是姐姐的魅力却困了我一辈子。 4、我是学生给我亲一口我求求你了我求求你了我求求你了我求求你了我求求你了我求求你了我求求你了我求求你了我求求你了我求求你了 5、我的眼睛本来长这样 OvO 后来看见宝宝后就变成了♡v♡ 6、宝宝 你穿成这样走进蛋糕店会被赶出来的呀 老板会指着蛋糕橱柜说我们店是卖草莓小蛋糕的 要是一不小心把你卖掉了怎么办呀！ 7、宝宝你真的特别萌我真是不明白了为什么你这么萌你知道你自己这么萌吗如果不传播宝的可爱全世界都要毁灭了世界没有你可怎么转只能强撑都是强撑罢了太萌了我的宝萌的我从地球螺旋升天我的好宝宝 8、萌的我打翻拼好饭૮₍ ˃̵ᴗ˂̵₎ა 9、不知道要夸什么 完全kiss不到呀๑ ›﹃ ‹ ๑ 10、姐姐你美的我神魂颠倒，直接360°旋转倒立扫堂腿接着帅气旋转单膝落地。,捧场
234,这颜值我打97分，别问我为什么，因为骑着摩托车等红绿灯时，为了看清你，把头盔摘下来被扣了三分,捧场
235,就是萌！正面看，萌！背面看，萌！左边看，萌！右面看，萌！上面看，萌！下面看，萌！用苹果手机看，萌！用华为手机看，萌！用小米手机看，萌！用三星手机看，萌！用欧坡手机看，萌！用维沃手机看，萌！用八八四八手机看，萌！！,捧场
236,美得我抬头撞到了天花板（一般人长不到这么高的）,捧场
237,这个喷不了，长的太爽了，拉子看了发神经，直女看了断月经，这简直是抑郁症的克星，植物人的闹铃,捧场
238,现在这个账号是angelababy在用吗,捧场
239,宝宝不要把自己逼得太紧 平时放松一下 比如饿了就拍美照 困了就拍抖舞 想休息就拍手势舞 无聊了就剪vlog,捧场
240,妲己可以眩晕我,捧场
241,5秒，张良可以控制我,捧场
242,2秒。东皇也可以控制我,捧场
243,2秒，墨子大招能眩晕我,捧场
244,3秒。弈星大招可以限制我四秒。老夫子大招能困住我五秒。可是姐姐的魅力却困了我一辈子,捧场
245,本来以为是权威女头，没想到是我女朋友啊,捧场
246,^_^^_^......真的是疯了，完全是legend 啊[大笑]这种程度真的不是天才吗？做到这种程度的话就完全是神吧，以后也请一直幸福的生活下去吧🥳今天完全展示出帅气的角度呢，是路过的蚂蚁都会惊叹的程度呢,捧场
247,可恶…刚哄好自己长的是耐看型,捧场
248,你好美，冰冷孤傲的眼睛仿佛没有焦距，深黯的眼底充满了平静，乌黑的头发发出幽蓝的光芒，光洁白皙的脸庞透着棱角，分明的冷俊浓密的眉毛叛逆地稍稍向上，扬起长而微卷的睫毛下幽暗深邃的冰眸子显得狂野不拘邪魅性感。你不化妆是天生丽质，化了妆是仙女下凡，正所谓墙里开花墙外香小姐姐美名传四方，温柔典雅，美丽大方，突然明白这世间所有丹青水墨山遥海阔，都是为了铺垫你这人间绝色。我哭了四个小时，崩溃了16次，撞了134次墙，逛了8个直播间，抢了167块钱的双11丁金🧧，打算那这笔巨款在,捧场
249,15晚8点给你买个礼物，希望到时候你能告诉我，到底怎么才能长得这么好看,捧场
250,嗨，老婆！叫朋友太亲切，叫网友太疏离，叫知己太过火，不如就叫老婆，微微的冷漠，微微的温暖，一根网线连接你和我，你好，老婆,捧场
251,想了半天漂亮话发现最漂亮的是你,捧场
252,这个饺子太好吃了，你猜是什么馅，是姐已经对你沦陷,捧场
253,怎么发自拍也不提前打个招呼？我只是随便刷刷，还没做好心理准备，滑了滑pyq就这么大个美女跳出，手抖着给你点赞又跳转到淘宝直播间，啪叽一下就领了几个丁金🧧，这整得我必须得花钱参加今年的双11了，代价这么大我受得了吗？下次提前发我。哦，对了，但是,捧场
254,15晚上8点不行，因为我要付丁金，别打扰我。,捧场
255,头晕晕的感觉缺点你的亲亲,捧场
256,我们老年人牙口不好就是要多吃这些香香软软的小蛋糕,捧场
257,可恶…刚哄好自己长的是耐看型<(｀^´)>,捧场
258,.你就是传说中的萌妹子吗！久仰大名！今天终于见到本人了！好激动啊啊啊啊啊啊啊啊啊！！我能巴结你吗！你…会不会嫌我烦啊…嗯哭了 我好激动！！！！！！！！！我…我…是你偶像！,捧场
259,我将会在你面前假装绊倒自己( ˶ｰ̀֊ｰ́ )੭,捧场
260,恋吗 他们说菜就多恋 美女姐姐！看这！这里！！！Oi !Oi！Oi！（猛拍肚皮）Oi !Oi！Oi！（猛拍肚皮）Oi !Oi！,捧场
261,你是个漂亮的小女孩 容易被色狼盯上 防狼是你的必修课 天天防狼也是会累的 不过不要担心 以后你不用防狼了 因为你的郎来了！,捧场
262,真好奇你们这种萌妹子怎么忍住不要我微信的 不心动挑战吗？有点意思,捧场
263,今天跟朋友去吃饭点了一条鱼朋友问我为啥只吃鱼头 我说因为鱼身要留着和你一起过,捧场
264,姐姐我就是想问一下你这是什么美瞳啊，是黑瞳还是棕瞳，为什么我一看见姐姐就变成了女瞳,捧场
265,萌物中的萌物 萌物中的统治者 萌物之主 萌物的终结者 萌王 萌师 萌神 压倒性萌物 萌物史上永垂不朽的巅峰,捧场
266,我的眼睛本来长这样 OvO 后来看见宝宝后就变成了♡v♡,捧场
267,我搜全网最萌真给我弹这了！？,捧场
268,微信越来越不好用了，我明明调的夜间模式，老师的美貌却像阳光一样耀眼，明明下载了国家反诈中心APP，可还是被老师的美貌骗走了心,捧场
269,女娲说世上要有草莓小蛋糕于是就有了xx,捧场
270,你好美，太平洋是我为而流的口水,捧场
271,以后炒菜不用放盐了，因为你的美貌无需多言,捧场
272,回来小黄 不要打扰这位可爱的女人👩🏼‍🦯🦮,捧场
273,好好好 漂漂漂 亮 亮 亮 好 漂 亮 亮 好好好 漂漂漂 亮 亮 好 漂 亮 亮 好好好 漂漂漂 亮 亮 亮,捧场
274,谢谢你把我斜视治好了 看到你我眼睛都直了,捧场
275,糟糕，被迷晕惹𖦹𖦹.ᐟ.ᐟ,捧场
276,你是学钢琴的吧，长得好像我初练琴人,捧场
277,天气预报说今晚有雨 我都能听成今晚有你,捧场
